date,income,expense,transfer,counterparty,note
2025-10-09,5400.00,0,T,,внутрішнє переміщення
2025-10-21,0,3640.00,,Украмарин,списання ГК
2025-11-01,0,1760.00,,Украмарин,списання ГК
2025-11-27,13000.00,0,T,,внутрішнє переміщення
2025-11-27,0,3750.00,,Украмарин,списання ГК
2025-11-27,0,3650.00,,Украмарин,списання ГК
2025-11-27,0,2950.00,,Украмарин,списання ГК
2025-11-27,0,60.00,,Украмарин,списання ГК
2025-12-05,0,1325.00,,Украмарин,списання ГК
2025-12-09,0,400.00,,Sea Case Law Bou,списання ГК
2025-12-12,85.21,0,T,,внутрішнє переміщення
2025-12-30,300.00,0,,Украмарин,надходження ГК
2025-12-30,0,400.00,,Украмарин,списання ГК
2026-01-08,0,3950.00,,Украмарин,списання ГК
2026-01-16,4910.03,0,,,надходження ГК
2026-01-16,2863.12,0,,,надходження ГК
2026-01-16,0,2700.00,T,,внутрішнє переміщення
2026-01-16,0,742.59,T,,внутрішнє переміщення
2026-01-16,0,300.00,,Украмарин,списання ГК
2026-01-16,0,87.34,T,,внутрішнє переміщення
2026-01-20,10000.00,0,T,,внутрішнє переміщення
2026-01-20,4050.00,0,,,надходження ГК
2026-01-20,0,10817.03,T,,внутрішнє переміщення
2026-01-20,0,3650.00,T,,внутрішнє переміщення
2026-02-16,3760.00,0,,,надходження ГК
2026-02-16,0,3470.00,,Украмарин,списання ГК
2026-02-25,0,4486.00,,Украмарин,списання ГК
2026-02-25,0,4305.00,,Украмарин,списання ГК
2026-02-25,0,3350.00,,Украмарин,списання ГК
2026-02-25,0,3250.00,,Украмарин,списання ГК
2026-02-25,0,453.00,,Софт Про,списання ГК
2026-02-26,25550.00,0,,,надходження ГК
2026-02-26,13800.00,0,T,,внутрішнє переміщення
2026-02-26,0,23550.00,,Артем Мельник,списання ГК
2026-03-16,50.00,0,T,,внутрішнє переміщення
2026-04-02,4750.00,0,,,надходження ГК
2026-04-02,0,3075.00,,Cool World,списання ГК
2026-04-02,0,3075.00,,Cool World,списання ГК
2026-04-02,0,1250.00,,Cool World,списання ГК
2026-04-02,0,25.00,,Украмарин,списання ГК
2026-04-02,0,25.00,,Украмарин,списання ГК
2026-04-02,0,25.00,,Украмарин,списання ГК
2026-04-14,27850.00,0,,,надходження ГК
2026-04-14,11450.00,0,T,,внутрішнє переміщення
2026-04-14,0,23300.00,,Украмарин,списання ГК
2026-04-14,0,4320.00,,Украмарин,списання ГК
2026-04-14,0,3670.00,,Украмарин,списання ГК
2026-04-14,0,3358.00,,Украмарин,списання ГК
2026-04-14,0,50.00,,Украмарин,списання ГК
2026-04-20,10000.00,0,T,,внутрішнє переміщення
2026-05-05,0,8337.00,,Украмарин,списання ГК
2026-05-11,7850.00,0,T,,внутрішнє переміщення
2026-05-11,1386.00,0,T,,внутрішнє переміщення
2026-05-11,0,5480.00,,Украмарин,списання ГК
2026-05-11,0,3600.00,,Украмарин,списання ГК
2026-05-18,0,1600.00,,,списання ГК
2026-06-05,0,2900.00,,Cool World,списання ГК
2026-06-05,0,25.00,,,списання ГК
2026-06-22,3760.00,0,T,,внутрішнє переміщення
2026-07-06,0,400.00,,Украмарин,списання ГК
2026-07-08,0,140.00,,,списання ГК
2026-07-16,0,3890.00,,Украмарин,списання ГК
2026-07-17,0,3520.00,,Украмарин,списання ГК
2026-08-05,7500.00,0,T,,внутрішнє переміщення
2026-08-05,0,3380.00,,Украмарин,списання ГК
